Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,1.040000,1.070000,1.030000,1.030000,1.030000,19500
2023-01-04,1.010000,1.080000,1.010000,1.030000,1.030000,37400
2023-01-05,1.070000,1.080000,1.050000,1.080000,1.080000,26800
2023-01-06,1.090000,1.160000,1.090000,1.110000,1.110000,38300
2023-01-09,1.140000,1.140000,1.060000,1.120000,1.120000,39600
2023-01-10,1.120000,1.130000,1.110000,1.120000,1.120000,17400
2023-01-11,1.130000,1.170000,1.120000,1.120000,1.120000,45000
2023-01-12,1.160000,1.160000,1.140000,1.160000,1.160000,17700
2023-01-13,1.170000,1.250000,1.170000,1.230000,1.230000,23600
2023-01-17,1.260000,1.270000,1.250000,1.260000,1.260000,10400
2023-01-18,1.260000,1.270000,1.260000,1.270000,1.270000,11500
2023-01-19,1.250000,1.270000,1.220000,1.260000,1.260000,17100
2023-01-20,1.260000,1.330000,1.220000,1.290000,1.290000,33600
2023-01-23,1.310000,1.310000,1.250000,1.270000,1.270000,15000
2023-01-24,1.220000,1.270000,1.200000,1.210000,1.210000,17100
2023-01-25,1.230000,1.260000,1.230000,1.260000,1.260000,15300
2023-01-26,1.250000,1.260000,1.190000,1.230000,1.230000,23900
2023-01-27,1.200000,1.230000,1.180000,1.190000,1.190000,25600
2023-01-30,1.190000,1.260000,1.180000,1.250000,1.250000,33300
2023-01-31,1.270000,1.310000,1.250000,1.260000,1.260000,33400
2023-02-01,1.310000,1.310000,1.270000,1.290000,1.290000,20000
2023-02-02,1.300000,1.310000,1.270000,1.290000,1.290000,25900
2023-02-03,1.310000,1.320000,1.260000,1.260000,1.260000,29900
2023-02-06,1.260000,1.310000,1.210000,1.270000,1.270000,87700
2023-02-07,1.260000,1.290000,1.250000,1.290000,1.290000,14700
2023-02-08,1.290000,1.310000,1.270000,1.310000,1.310000,24700
2023-02-09,1.340000,1.360000,1.280000,1.320000,1.320000,41700
2023-02-10,1.320000,1.340000,1.260000,1.300000,1.300000,17000
2023-02-13,1.310000,1.360000,1.260000,1.360000,1.360000,232300
2023-02-14,1.290000,1.360000,1.240000,1.320000,1.320000,72000
2023-02-15,1.350000,1.350000,1.300000,1.320000,1.320000,20700
2023-02-16,1.260000,1.320000,1.260000,1.280000,1.280000,29100
2023-02-17,1.270000,1.300000,1.250000,1.250000,1.250000,23700
2023-02-21,1.260000,1.260000,1.120000,1.150000,1.150000,26800
2023-02-22,1.150000,1.180000,1.120000,1.140000,1.140000,14100
2023-02-23,1.150000,1.210000,1.130000,1.170000,1.170000,19500
2023-02-24,1.140000,1.170000,1.130000,1.140000,1.140000,6600
2023-02-27,1.130000,1.160000,1.120000,1.120000,1.120000,16000
2023-02-28,1.140000,1.170000,1.120000,1.130000,1.130000,13400
2023-03-01,1.130000,1.160000,1.120000,1.130000,1.130000,31400
2023-03-02,1.120000,1.140000,1.120000,1.120000,1.120000,22100
2023-03-03,1.120000,1.140000,1.110000,1.120000,1.120000,29900
2023-03-06,1.120000,1.210000,1.120000,1.210000,1.210000,42600
2023-03-07,1.210000,1.230000,1.150000,1.170000,1.170000,16600
2023-03-08,1.200000,1.200000,1.120000,1.120000,1.120000,17000
2023-03-09,1.130000,1.180000,1.130000,1.140000,1.140000,18400
2023-03-10,1.140000,1.160000,1.110000,1.140000,1.140000,14800
2023-03-13,1.130000,1.160000,1.110000,1.110000,1.110000,22800
2023-03-14,1.110000,1.160000,1.110000,1.130000,1.130000,8200
2023-03-15,1.110000,1.170000,1.100000,1.120000,1.120000,27400
2023-03-16,1.110000,1.200000,1.030000,1.060000,1.060000,94700
2023-03-17,1.040000,1.090000,1.040000,1.050000,1.050000,15400
2023-03-20,1.040000,1.040000,1.000000,1.010000,1.010000,39400
2023-03-21,1.030000,1.030000,1.000000,1.010000,1.010000,35800
2023-03-22,1.000000,1.040000,1.000000,1.010000,1.010000,17200
2023-03-23,1.040000,1.040000,1.000000,1.030000,1.030000,36400
2023-03-24,1.030000,1.050000,1.000000,1.050000,1.050000,13300
2023-03-27,1.010000,1.050000,1.010000,1.010000,1.010000,17500
2023-03-28,1.000000,1.060000,0.950000,1.020000,1.020000,28300
2023-03-29,1.040000,1.060000,1.030000,1.050000,1.050000,17500
